price,bed,bath,acre_lot,zip_code,house_size,year,month
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
79900.0,3.0,1.0,0.18,8016.0,1120.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
199000.0,3.0,3.0,0.06,8021.0,1717.0,2000,4
330000.0,4.0,3.0,0.15,8234.0,2300.0,2000,4
194900.0,2.0,1.0,0.16,8049.0,912.0,2000,4
320000.0,4.0,2.0,0.29,8065.0,1564.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
199000.0,3.0,3.0,0.06,8021.0,1717.0,2000,4
194900.0,2.0,1.0,0.16,8049.0,912.0,2000,4
320000.0,4.0,2.0,0.29,8065.0,1564.0,2000,4
194900.0,2.0,1.0,0.16,8049.0,912.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
1100000.0,4.0,3.0,2.73,8210.0,3002.0,2000,4
330000.0,4.0,3.0,0.15,8234.0,2300.0,2000,4
330000.0,4.0,3.0,0.15,8234.0,2300.0,2000,4
330000.0,4.0,3.0,0.15,8234.0,2300.0,2000,4
330000.0,4.0,3.0,0.15,8234.0,2300.0,2000,4
1100000.0,4.0,3.0,2.73,8210.0,3002.0,2000,4
1100000.0,4.0,3.0,2.73,8210.0,3002.0,2000,4
1100000.0,4.0,3.0,2.73,8210.0,3002.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
850000.0,4.0,4.0,17.42,8322.0,3320.0,2000,4
330000.0,4.0,3.0,0.15,8234.0,2300.0,2000,4
750000.0,5.0,4.0,0.58,7728.0,3157.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
95777.0,3.0,2.0,0.07,8618.0,1246.0,2000,4
79900.0,3.0,1.0,0.18,8016.0,1120.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
79900.0,3.0,1.0,0.18,8016.0,1120.0,2000,4
750000.0,5.0,4.0,0.58,7728.0,3157.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
750000.0,5.0,4.0,0.58,7728.0,3157.0,2000,4
1190000.0,5.0,4.0,0.76,8550.0,3465.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
609900.0,4.0,3.0,0.46,8807.0,2184.0,2000,4
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
849900.0,4.0,4.0,0.44,7076.0,3223.0,2000,5
849900.0,4.0,4.0,0.44,7076.0,3223.0,2000,5
1900000.0,5.0,5.0,0.26,7901.0,4600.0,2000,5
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
849900.0,4.0,4.0,0.44,7076.0,3223.0,2000,5
355000.0,2.0,1.0,0.13,8817.0,1482.0,2000,5
1900000.0,5.0,5.0,0.26,7901.0,4600.0,2000,5
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
500000.0,4.0,2.0,0.1,7011.0,1500.0,2000,5
